fwd,t,K
1663.73041383017,0.876112251882272,700
1663.73041383017,0.876112251882272,750
1663.73041383017,0.876112251882272,800
1663.73041383017,0.876112251882272,850
1663.73041383017,0.876112251882272,900
1663.73041383017,0.876112251882272,925
1663.73041383017,0.876112251882272,950
1663.73041383017,0.876112251882272,975
1663.73041383017,0.876112251882272,1000
1663.73041383017,0.876112251882272,1025
1663.73041383017,0.876112251882272,1050
1663.73041383017,0.876112251882272,1075
1663.73041383017,0.876112251882272,1100
1663.73041383017,0.876112251882272,1125
1663.73041383017,0.876112251882272,1150
1663.73041383017,0.876112251882272,1175
1663.73041383017,0.876112251882272,1200
1663.73041383017,0.876112251882272,1225
1663.73041383017,0.876112251882272,1250
1663.73041383017,0.876112251882272,1275
1663.73041383017,0.876112251882272,1300
1663.73041383017,0.876112251882272,1325
1663.73041383017,0.876112251882272,1350
1663.73041383017,0.876112251882272,1375
1663.73041383017,0.876112251882272,1400
1663.73041383017,0.876112251882272,1425
1663.73041383017,0.876112251882272,1450
1663.73041383017,0.876112251882272,1475
1663.73041383017,0.876112251882272,1500
1663.73041383017,0.876112251882272,1525
1663.73041383017,0.876112251882272,1550
1663.73041383017,0.876112251882272,1575
1663.73041383017,0.876112251882272,1600
1663.73041383017,0.876112251882272,1625
1663.73041383017,0.876112251882272,1650
1663.73041383017,0.876112251882272,1675
1663.73041383017,0.876112251882272,1700
1663.73041383017,0.876112251882272,1725
1663.73041383017,0.876112251882272,1750
1663.73041383017,0.876112251882272,1775
1663.73041383017,0.876112251882272,1800
1663.73041383017,0.876112251882272,1825
1663.73041383017,0.876112251882272,1850
1663.73041383017,0.876112251882272,1875
1663.73041383017,0.876112251882272,1900
1663.73041383017,0.876112251882272,1950
1663.73041383017,0.876112251882272,2000
