t 	        Xc
0.008213552	1.467972114
0.024640657	2.630869562
0.043805613	3.500788813
0.062970568	4.153250596
0.082135524	4.684063172
0.10403833	5.195898351
0.128678987	5.690173118
0.180698152	6.554907228
0.257357974	7.574232
0.353182752	8.61705955
0.380561259	8.884619159
0.429842574	9.340912471
0.602327173	10.75253723
0.62696783	10.93651433
0.851471595	12.47384754
0.876112252	12.63025479
1.349760438	15.32745824
1.42642026	15.72257208
2.346338125	19.94388566
